idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yHhQuintilesMonthC5,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC4,eduHighestFatherC4,statInterviewYear,wealthPrptyFlag,labHrsWorkWeek,demCountry,labC4,demAdultChildFlag,wgtCrossMainSurvey,labWageHrly,labWageHrlyL1,yCapitalPersMonth,yPensPersGrossMonth,yPersDispMonth,labC4L1,labEmpNyear,demRgnBirthIntl,labUnempFlag,demRgn
10027,1002701,1002701,-9,-9,-9,2015,0,83,0,0,0,3,3,-9,0,3,2,0,.44999999,.44999999,-9,-9,-999,-9,-9,-9,2015,0,0,-9,4,0,1921,0,0,.44999999,0,865.08002,4,-9,-9,0,5
8926,892601,892601,-9,-9,-9,2015,1,47,0,0,0,1,1,-9,0,4,5,8.4700003,8.4700003,0,-9,-9,-999,0,-9,-9,2015,1,38,-9,1,0,1706,17.700001,17.040001,0,0,2168.6899,1,18,-9,0,2
11530,1153002,1153002,-9,1153001,-9,2015,0,34,1,1,0,2,2,-9,0,4,1,0,0,0,-9,-9,-999,0,-9,-9,2015,1,0,-9,3,1,60,0,0,0,0,1269.85,3,6,-9,1,2
8999,899901,899901,-9,899902,-9,2015,1,64,0,0,0,1,1,-9,0,4,5,7.6700001,8.04,7.0700002,-9,-9,-999,0,-9,-9,2015,1,37,-9,1,0,1541,15.96,15.59,7.0700002,0,2761.27,1,31,-9,0,1
3006,300602,300602,-9,300601,-9,2015,1,19,0,0,1,3,0,0,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,1,1174,0,0,0,0,604.40997,2,-9,-9,0,6
8512,851202,851203,-9,851201,851202,2015,1,19,0,0,1,3,0,0,0,3,1,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,1,488,0,0,0,0,707.57001,2,-9,-9,0,5
3004,300401,300404,-9,300401,300402,2015,0,6,0,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,0,3516,0,0,0,0,0,2,-9,-9,0,3
9910,991002,991002,-9,-9,-9,2015,1,29,0,0,0,2,2,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2015,0,0,-9,2,0,340,0,-9,0,0,198.2,-9,-9,-9,0,6
1138,113801,113804,-9,113802,113801,2015,1,2,1,2,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,0,1066,0,-9,0,0,0,-9,-9,-9,0,5
5799,579901,579901,-9,-9,-9,2015,1,26,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,0,-9,-9,2015,1,0,-9,3,0,1548,0,0,0,0,185.77,3,2,-9,1,5
11714,1171401,1171403,-9,1171402,1171401,2015,0,6,0,2,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,0,1879,0,-9,0,0,0,-9,-9,-9,0,2
5033,503302,503302,-9,-9,503301,2015,1,23,0,0,0,1,1,1,0,5,5,8.3299999,8.3299999,2.0699999,-9,-9,-999,-9,-9,-9,2015,1,38,-9,1,0,757,13.16,0,2.0699999,0,3021.1001,2,1,-9,0,6
2999,299902,299903,-9,299902,299901,2015,0,23,0,0,0,3,3,-9,1,3,2,0,2.6600001,2.6600001,-9,-9,-999,0,-9,-9,2015,1,0,-9,3,1,3302,0,0,2.6600001,0,1670.64,3,-9,-9,0,4
5004,500401,500401,-9,-9,-9,2015,0,61,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2015,0,0,-9,3,0,1514,0,-9,0,0,245.07001,-9,-9,-9,1,2
10476,1047602,1047603,-9,1047602,1047601,2015,1,22,0,0,0,1,1,-9,0,4,4,8.29,8.3699999,5.6399999,-9,-9,-999,0,-9,-9,2015,1,40,-9,1,1,984,9.1000004,8.8900003,5.6399999,0,1701.89,1,2,-9,0,7
9523,952301,952301,-9,-9,-9,2015,0,57,0,1,0,3,3,-9,0,3,1,0,0,0,-9,-9,-999,0,-9,-9,2015,0,0,-9,3,0,1768,0,0,0,0,431.35001,3,17,-9,1,5
6905,690501,690501,-9,-9,-9,2015,1,65,0,0,0,1,1,-9,0,4,5,7.3899999,7.9000001,7.0900002,-9,-9,-999,0,-9,-9,2015,1,40,-9,1,0,4127,8.4399996,9.4099998,7.0900002,0,2064.54,1,43,-9,0,1
7559,755901,755904,-9,755902,755901,2015,0,3,0,2,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,0,1623,0,0,0,0,0,2,-9,-9,0,4
1068,106801,106801,-9,-9,-9,2015,0,61,0,0,0,2,2,-9,0,4,3,0,5.7199998,5.7199998,-9,-9,-999,-9,-9,-9,2015,1,0,-9,4,0,1361,0,0,5.7199998,0,7112.3301,4,42,-9,0,2
6751,675101,675103,-9,675101,675102,2015,1,8,0,1,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,0,1661,0,0,0,0,0,2,-9,-9,0,3
3800,380002,380005,-9,380004,380003,2015,0,0,1,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,0,2223,0,-9,0,0,0,-9,-9,-9,0,5
3274,327402,327403,-9,327402,327401,2015,1,42,0,0,0,2,2,-9,0,4,1,0,0,0,-9,-9,-999,0,-9,-9,2015,1,0,-9,3,0,573,0,0,0,0,1004.9,3,20,-9,1,5
6927,692701,692701,-9,-9,-9,2015,0,72,0,0,0,3,3,-9,0,4,3,0,5.1999998,5.1999998,-9,-9,-999,0,-9,-9,2015,1,0,-9,3,0,1680,0,0,5.1999998,0,932.75,3,7,-9,0,4
9621,962101,962103,-9,962102,962101,2015,1,14,0,1,0,3,3,1,0,4,5,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,3,0,1448,0,0,0,0,0,2,-9,-9,0,3
2993,299301,299301,-9,-9,-9,2015,0,24,0,0,0,2,2,-9,0,4,4,7.46,7.46,0,-9,-9,-999,0,-9,-9,2015,0,37,-9,1,0,401,5.7199998,5.5900002,0,0,207.23,1,5,-9,0,7
10653,1065303,1065303,-9,-9,-9,2015,0,85,0,0,0,3,3,-9,0,1,2,0,1.74,1.74,-9,-9,-999,-9,-9,-9,2015,1,0,-9,4,0,957,0,0,1.74,0,800.15997,4,40,-9,0,1
9761,976101,976103,-9,976102,976101,2015,1,17,0,2,1,3,0,-9,0,4,4,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,2,0,919,0,-9,0,0,0,-9,-9,-9,0,4
108,10801,10801,-9,-9,-9,2015,1,59,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2015,1,0,-9,3,0,644,0,-9,0,0,416.17001,-9,26,-9,1,6
4066,406601,406601,-9,-9,-9,2015,1,78,0,0,0,3,3,-9,0,4,2,0,4.3600001,4.3600001,-9,-9,-999,-9,-9,-9,2015,1,0,-9,4,0,1654,0,0,4.3600001,0,822.69,4,51,-9,0,1
2612,261201,261201,-9,261203,261202,2015,0,61,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,0,-9,-9,2015,1,0,-9,3,0,1406,0,0,0,0,477.37,3,13,-9,1,4
4082,408202,408202,-9,408201,-9,2015,1,41,0,0,0,2,2,-9,0,4,4,7.5100002,7.5100002,0,-9,-9,-999,0,-9,-9,2015,1,35,-9,1,0,1261,10.38,8.71,0,0,1165.87,1,12,-9,0,6
