idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yHhQuintilesMonthC5,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC4,eduHighestFatherC4,statInterviewYear,wealthPrptyFlag,labHrsWorkWeek,demCountry,labC4,demAdultChildFlag,wgtCrossMainSurvey,labWageHrly,labWageHrlyL1,yCapitalPersMonth,yPensPersGrossMonth,yPersDispMonth,labC4L1,labEmpNyear,demRgnBirthIntl,labUnempFlag,demRgn
1,101,101,-9,-9,-9,2011,1,37,0,0,0,1,1,-9,0,4,5,8.0900002,8.0900002,0,-9,-9,-999,-9,-9,-9,2011,1,40,-9,1,0,3065,13.92,-9,0,0,1593.05,-9,21,-9,0,5
3747,374702,374702,-9,-9,374701,2011,0,29,0,0,0,2,2,-9,0,3,2,0,3.52,3.52,-9,-9,-999,-9,-9,-9,2011,1,0,-9,3,0,1571,0,-9,3.52,0,791.46997,-9,7,-9,1,6
11537,1153701,1153701,-9,-9,-9,2011,1,74,0,0,0,3,3,-9,0,3,1,0,0,0,-9,-9,-999,-9,-9,-9,2011,1,0,-9,4,0,1204,0,-9,0,0,890.47998,-9,25,-9,0,2
11797,1179701,1179703,-9,1179701,1179702,2011,0,13,1,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2011,1,0,-9,2,0,661,0,-9,0,0,0,-9,-9,-9,0,6
10023,1002301,1002303,-9,1002302,1002301,2011,1,11,0,2,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2011,1,0,-9,2,0,140,0,0,0,0,0,2,-9,-9,0,2
1430,143002,143003,-9,143002,143001,2011,0,24,0,0,0,2,2,-9,0,5,2,0,3.0899999,3.0899999,-9,-9,-999,0,-9,-9,2011,1,0,-9,3,1,2268,0,0,3.0899999,0,475.42001,3,-9,-9,1,3
9198,919801,919801,-9,-9,-9,2011,1,58,0,0,0,2,2,-9,1,2,1,0,0,0,-9,-9,-999,0,-9,-9,2011,0,0,-9,3,0,3312,0,0,0,0,451.79001,3,-9,-9,0,3
9516,951601,951601,-9,-9,-9,2011,1,70,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2011,1,0,-9,4,0,2078,0,0,0,0,621.56,4,-9,-9,0,5
9397,939702,939702,-9,-9,-9,2011,0,88,0,0,0,3,3,-9,0,2,2,0,4.0500002,4.0500002,-9,-9,-999,-9,-9,-9,2011,1,0,-9,4,0,1044,0,0,4.0500002,0,550.95001,4,-9,-9,0,5
5014,501402,501403,-9,501402,501401,2011,0,35,0,0,0,1,1,-9,0,5,4,8.3800001,8.3999996,3.79,-9,-9,-999,-9,-9,-9,2011,1,40,-9,1,1,1115,9.4200001,-9,3.79,0,630.33002,-9,4,-9,0,5
10968,1096802,1096803,-9,1096802,1096801,2011,0,30,0,0,0,1,1,-9,0,4,5,8.5500002,8.6000004,5.4899998,-9,-9,-999,-9,-9,-9,2011,1,40,-9,1,0,1010,13.62,-9,5.4899998,0,1618.78,-9,13,-9,0,5
3125,312501,312503,-9,312502,312501,2011,0,8,0,2,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2011,1,0,-9,2,0,1800,0,0,0,0,0,2,-9,-9,0,5
3125,312501,312504,-9,312502,312501,2011,0,6,0,2,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2011,1,0,-9,2,0,1800,0,0,0,0,0,2,-9,-9,0,5
6623,662301,662301,-9,-9,-9,2011,0,43,0,0,0,3,3,-9,0,4,4,8.5299997,8.5299997,2.6500001,-9,-9,-999,0,-9,-9,2011,1,40,-9,1,0,2591,7.9699998,0,2.6500001,0,883.51001,3,25,-9,0,5
7265,726501,726503,-9,-9,726501,2011,1,12,0,5,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2011,0,0,-9,2,0,5198,0,-9,0,0,0,-9,-9,-9,0,4
10939,1093902,1093904,-9,1093903,1093902,2011,1,12,0,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2011,1,0,-9,2,0,1812,0,-9,0,0,0,-9,-9,-9,0,7
