idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yHhQuintilesMonthC5,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC4,eduHighestFatherC4,statInterviewYear,wealthPrptyFlag,labHrsWorkWeek,demCountry,labC4,demAdultChildFlag,wgtCrossMainSurvey,labWageHrly,labWageHrlyL1,yCapitalPersMonth,yPensPersGrossMonth,yPersDispMonth,labC4L1,labEmpNyear,demRgn
3897,389701,389701,-9,-9,-9,2017,0,85,0,0,0,2,2,-9,0,2,1,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,4,0,1302,0,0,0,0,515.76,4,32,6
2349,234901,234901,-9,-9,-9,2017,0,74,0,0,0,3,3,-9,0,3,2,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,4,0,296,0,-9,0,0,240.37,-9,30,4
5108,510801,510801,-9,510802,-9,2017,1,39,0,0,0,2,2,-9,0,5,5,9.460000000000001,9.460000000000001,0,-9,-9,-999,0,-9,-9,2017,1,40,-9,1,0,521,8.19,3.31,0,0,465.52,1,-9,4
8780,878002,878003,-9,878002,878001,2017,0,18,0,0,1,3,0,0,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,2,1,682,0,0,0,0,195.74,2,-9,10
6980,698001,698001,-9,-9,-9,2017,0,54,0,1,0,2,2,-9,0,3,3,6.600000000000001,6.74,4.91,-9,-9,-999,0,-9,-9,2017,1,40,-9,1,0,398,2.93,2.82,4.91,0,591.21,1,38,10
9775,977501,977503,-9,977502,977501,2017,0,13,0,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,2,0,474,0,0,0,0,0,2,-9,10
7930,793002,793002,-9,-9,-9,2017,1,79,0,0,0,3,3,-9,0,2,1,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,4,0,232,0,0,0,0,213.13,4,-9,5
4323,432301,432301,-9,-9,-9,2017,0,84,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2017,0,0,-9,4,0,624,0,-9,0,0,252.53,-9,-9,10
5510,551001,551001,-9,-9,-9,2017,1,65,0,0,0,2,2,-9,0,4,2,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,4,0,280,0,-9,0,0,301.91,-9,35,4
12563,1256301,1256301,-9,-9,-9,2017,1,67,0,0,0,2,2,-9,0,4,5,7.95,7.95,0,-9,-9,-999,0,-9,-9,2017,1,40,-9,1,0,351,7.06,4.55,0,0,637.53,1,47,2
3814,381401,381401,-9,-9,-9,2017,1,72,0,0,0,3,3,-9,1,3,2,0,0,0,-9,-9,-999,0,-9,-9,2017,0,0,-9,3,0,1002,0,0,0,0,221.32,3,6,10
6104,610402,610403,-9,610402,610401,2017,0,25,0,0,0,2,2,-9,0,3,4,7.100000000000001,7.100000000000001,0,-9,-9,-999,-9,-9,-9,2017,1,52,-9,1,1,1983,3.65,-9,0,0,509.25,-9,-9,10
5255,525501,525505,-9,525502,525501,2017,1,14,0,1,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,2,0,1169,0,0,0,0,0,2,-9,6
7051,705102,705103,-9,705102,705101,2017,1,25,0,0,0,2,2,-9,0,4,3,6.32,6.32,0,-9,-9,-999,0,-9,-9,2017,1,40,-9,1,1,3356,2.26,2.2,0,0,400.72,1,4,10
1031,103101,103101,-9,103102,-9,2017,1,38,0,0,0,2,2,-9,0,4,4,7.600000000000001,7.600000000000001,0,-9,-9,-999,-9,-9,-9,2017,1,40,-9,1,0,183,4.84,-9,0,0,549.77,-9,21,2
9050,905002,905004,-9,-9,905003,2017,0,17,0,2,1,3,0,-9,0,5,1,0,0,0,-9,-9,-999,-9,-9,-9,2017,0,0,-9,2,0,1392,0,-9,0,0,0,-9,-9,10
3400,340002,340002,-9,340001,-9,2017,1,19,0,0,0,2,2,1,0,5,1,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,3,1,357,0,0,0,0,205.87,2,-9,5
2061,206101,206101,-9,206103,206102,2017,1,31,0,0,0,1,1,-9,0,5,4,6.78,6.78,0,-9,-9,-999,-9,-9,-9,2017,0,40,-9,1,1,1455,3.87,-9,0,0,317.99,-9,10,10
11075,1107502,1107502,-9,1107501,-9,2017,1,27,0,0,0,2,2,-9,0,5,4,8.130000000000001,8.130000000000001,0,-9,-9,-999,-9,-9,-9,2017,1,48,-9,1,1,1832,2.88,-9,0,0,384.22,-9,-9,5
1268,126801,126802,-9,126801,-9,2017,1,10,0,3,1,3,0,-9,0,-9,1,0,0,0,-9,-9,-999,-9,-9,-9,2017,0,0,-9,2,0,557,0,0,0,0,0,2,-9,6
6471,647101,647103,-9,647102,647101,2017,0,13,0,1,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,2,0,1213,0,0,0,0,0,2,-9,6
7434,743401,743401,-9,-9,-9,2017,0,58,0,0,0,2,2,-9,0,2,1,0,0,0,-9,-9,-999,0,-9,-9,2017,1,0,-9,4,0,1041,0,0,0,0,326.98,3,20,10
2049,204901,204903,-9,204902,204901,2017,1,4,1,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,2,0,560,0,-9,0,0,0,-9,-9,5
3135,313501,313503,-9,313502,313501,2017,1,7,0,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2017,1,0,-9,2,0,646,0,-9,0,0,0,-9,-9,10
