idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yHhQuintilesMonthC5,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC4,eduHighestFatherC4,statInterviewYear,wealthPrptyFlag,labHrsWorkWeek,demCountry,labC4,demAdultChildFlag,wgtCrossMainSurvey,labWageHrly,labWageHrlyL1,yCapitalPersMonth,yPensPersGrossMonth,yPersDispMonth,labC4L1,labEmpNyear,demRgn
2155,215501,215503,-9,215502,215501,2013,0,13,0,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,408,0,-9,0,0,0,-9,-9,5
10213,1021301,1021301,-9,-9,-9,2013,0,79,0,0,0,3,3,-9,0,2,3,0,4.72,4.72,-9,-9,-999,-9,-9,-9,2013,1,0,-9,4,0,793,0,0,4.72,0,502.67,4,35,6
2154,215403,215404,-9,215402,215401,2013,0,26,0,0,0,1,1,-9,0,5,3,6.87,6.87,0,-9,-9,-999,0,-9,-9,2013,0,40,-9,1,1,3200,2.24,0,0,0,305.99,3,-9,4
6677,667703,667703,-9,667701,-9,2013,0,18,0,0,1,2,0,0,0,4,3,0,4.52,4.52,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,1,1337,0,0,4.52,0,379.89,2,-9,2
3359,335902,335907,-9,335903,-9,2013,1,3,1,2,1,3,0,-9,0,-9,1,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,893,0,-9,0,0,0,-9,-9,10
8575,857501,857504,-9,857501,857502,2013,1,12,0,3,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,725,0,0,0,0,0,2,-9,10
6180,618001,618005,-9,618002,618001,2013,1,9,0,3,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,2060,0,0,0,0,0,2,-9,10
10574,1057402,1057403,-9,1057402,1057401,2013,0,38,0,0,0,2,2,-9,0,5,3,7.19,7.19,0,-9,-9,-999,0,-9,-9,2013,1,40,-9,1,0,698,2.18,2.12,0,0,389.46,1,-9,4
3068,306801,306804,-9,306802,306801,2013,0,13,0,1,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,569,0,0,0,0,0,2,-9,2
4,401,401,-9,-9,-9,2013,0,60,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,4,0,351,0,0,0,0,302.85,4,29,6
5671,567102,567104,-9,-9,-9,2013,0,74,0,0,0,2,2,-9,0,3,2,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,4,0,412,0,-9,0,0,626.8100000000001,-9,35,2
12467,1246704,1246705,-9,1246702,1246701,2013,1,18,0,0,1,2,0,0,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,1,624,0,0,0,0,262.99,2,-9,10
7564,756402,756403,-9,756402,756401,2013,1,23,0,0,1,2,0,-9,0,4,2,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,1,1424,0,-9,0,0,438.73,-9,-9,2
4020,402001,402004,-9,402002,402001,2013,0,16,0,1,0,3,3,1,0,5,5,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,3,0,564,0,0,0,0,0,2,-9,10
8909,890902,890903,-9,-9,-9,2013,0,80,0,0,0,3,3,-9,0,3,2,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,4,0,478,0,-9,0,0,203.09,-9,38,2
12435,1243502,1243502,-9,1243501,-9,2013,1,27,0,0,0,2,2,-9,0,5,1,0,0,0,-9,-9,-999,0,-9,-9,2013,1,0,-9,3,0,1344,0,0,0,0,525.35,1,5,2
7138,713801,713803,-9,713802,713801,2013,0,8,1,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,1919,0,0,0,0,0,2,-9,10
8533,853301,853301,-9,-9,-9,2013,0,81,0,0,0,3,3,-9,0,3,2,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,4,0,478,0,-9,0,0,225.56,-9,50,10
7476,747602,747603,-9,747602,747601,2013,1,27,0,0,0,2,2,-9,0,4,2,0,0,0,-9,-9,-999,0,-9,-9,2013,1,0,-9,3,1,998,0,0,0,0,545.85,1,3,6
2603,260301,260304,-9,260302,260301,2013,1,6,0,2,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,570,0,0,0,0,0,2,-9,2
11686,1168603,1168604,-9,1168602,1168601,2013,0,21,0,0,0,2,2,-9,0,5,1,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,3,1,1368,0,-9,0,0,156.33,-9,-9,10
1548,154801,154803,-9,154802,154801,2013,1,0,1,1,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,759,0,-9,0,0,0,-9,-9,4
8452,845201,845205,-9,845201,845202,2013,1,15,0,2,0,3,3,1,0,5,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,3,0,393,0,0,0,0,0,2,-9,10
11046,1104601,1104603,-9,1104602,1104601,2013,0,6,0,1,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,2029,0,0,0,0,0,2,-9,4
3994,399401,399403,-9,399401,399402,2013,1,4,1,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2013,0,0,-9,2,0,2080,0,-9,0,0,0,-9,-9,10
5985,598502,598506,-9,-9,-9,2013,0,81,0,0,0,2,2,-9,0,3,1,0,0,0,-9,-9,-999,-9,-9,-9,2013,0,0,-9,4,0,462,0,0,0,0,253.69,4,-9,2
3387,338701,338704,-9,338701,338702,2013,0,1,1,2,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2013,0,0,-9,2,0,454,0,-9,0,0,0,-9,-9,10
3770,377003,377005,-9,377003,377004,2013,1,18,0,0,1,3,0,0,0,4,2,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,1,438,0,0,0,0,273.18,2,-9,10
11366,1136601,1136601,-9,-9,-9,2013,1,74,0,0,0,2,2,-9,0,3,1,0,0,0,-9,-9,-999,-9,-9,-9,2013,0,0,-9,4,0,1990,0,0,0,0,492.43,4,30,2
9746,974602,974606,-9,974603,974602,2013,0,4,0,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,1205,0,0,0,0,0,2,-9,5
2419,241901,241901,-9,-9,-9,2013,0,39,0,1,0,1,1,-9,0,4,4,6.600000000000001,6.600000000000001,0,-9,-9,-999,0,-9,-9,2013,1,10,-9,1,0,2783,14.05,0,0,0,183.28,3,16,10
5665,566501,566501,-9,-9,-9,2013,1,82,0,0,0,2,2,-9,0,2,2,0,0,0,-9,-9,-999,-9,-9,-9,2013,0,0,-9,4,0,1110,0,-9,0,0,362.8,-9,30,4
7885,788502,788503,-9,788501,788502,2013,1,29,0,0,0,2,2,-9,0,4,3,4.850000000000001,4.850000000000001,0,-9,-9,-999,0,-9,-9,2013,1,25,-9,1,1,2172,.91,.88,0,0,194.33,1,9,10
3513,351301,351305,-9,351302,351301,2013,0,10,0,3,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,567,0,0,0,0,0,2,-9,2
3613,361302,361304,-9,-9,-9,2013,1,19,0,0,0,2,2,1,0,5,4,7.48,7.48,0,-9,-9,-999,-9,-9,-9,2013,1,40,-9,1,0,443,4.37,0,0,0,564.4400000000001,2,0,10
1582,158203,158204,-9,158202,158203,2013,1,35,0,0,0,2,2,-9,0,4,4,6.49,6.49,0,-9,-9,-999,0,-9,-9,2013,1,40,-9,1,0,3943,2.54,2.47,0,0,274.16,1,16,10
9358,935803,935803,-9,935801,-9,2013,1,19,0,0,0,2,2,-9,0,4,1,0,0,0,-9,-9,-999,0,-9,-9,2013,1,0,-9,3,1,2136,0,0,0,0,133.07,3,-9,2
1322,132202,132203,-9,132202,132201,2013,1,29,0,0,0,2,2,-9,0,4,4,7.66,7.66,0,-9,-9,-999,0,-9,-9,2013,1,40,-9,1,1,980,3.16,3.15,0,0,353.83,1,2,10
12163,1216302,1216303,-9,1216302,1216301,2013,0,48,0,0,0,1,1,-9,0,4,4,7.33,7.33,0,-9,-9,-999,-9,-9,-9,2013,1,40,-9,1,0,793,2.94,-9,0,0,276.2,-9,30,6
2563,256301,256301,-9,-9,-9,2013,0,53,0,0,0,2,2,-9,0,5,4,6.78,6.78,0,-9,-9,-999,-9,-9,-9,2013,0,8,-9,1,0,1365,12.31,-9,0,0,276.12,-9,25,10
5671,567101,567103,-9,567102,567101,2013,1,4,0,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,412,0,-9,0,0,0,-9,-9,2
2044,204404,204406,-9,204402,204401,2013,1,24,0,0,0,2,2,-9,0,4,4,6.62,6.62,0,-9,-9,-999,-9,-9,-9,2013,1,40,-9,1,1,2420,3.43,-9,0,0,348.98,-9,-9,10
6366,636603,636607,-9,636605,636604,2013,1,3,1,3,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,1866,0,-9,0,0,0,-9,-9,2
1537,153702,153703,-9,153702,153701,2013,1,25,0,0,0,2,2,-9,0,4,3,6.03,6.03,0,-9,-9,-999,0,-9,-9,2013,1,40,-9,1,1,3311,2.37,2.23,0,0,249.75,1,4,6
2958,295802,295804,-9,-9,-9,2013,0,83,0,0,0,3,3,-9,0,1,2,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,4,0,418,0,-9,0,0,660.42,-9,-9,6
804,80401,80405,-9,80402,80401,2013,1,17,0,1,1,3,0,0,0,5,3,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,1888,0,0,0,0,0,2,-9,10
7227,722701,722703,-9,722701,722702,2013,0,7,0,1,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,379,0,0,0,0,0,2,-9,4
3935,393501,393503,-9,393502,393501,2013,1,17,0,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,546,0,-9,0,0,0,-9,-9,6
10695,1069501,1069504,-9,1069501,1069502,2013,1,9,0,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,952,0,-9,0,0,0,-9,-9,2
2184,218401,218403,-9,218401,218402,2013,1,16,0,1,0,1,1,-9,0,5,5,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,3,0,1839,0,-9,0,0,0,-9,-9,4
108,10801,10801,-9,10802,-9,2013,1,33,0,0,0,1,1,-9,0,4,4,6.55,6.55,0,-9,-9,-999,0,-9,-9,2013,1,40,-9,1,0,709,3.99,3.98,0,0,342.35,1,7,10
7924,792401,792404,-9,792402,792401,2013,1,2,1,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2013,1,0,-9,2,0,526,0,0,0,0,0,2,-9,5
