idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yHhQuintilesMonthC5,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC4,eduHighestFatherC4,statInterviewYear,wealthPrptyFlag,labHrsWorkWeek,demCountry,labC4,demAdultChildFlag,wgtCrossMainSurvey,labWageHrly,labWageHrlyL1,yCapitalPersMonth,yPensPersGrossMonth,yPersDispMonth,labC4L1,labEmpNyear,demRgn
2639,263902,263903,-9,263902,263901,2020,0,21,0,0,0,3,3,-9,0,5,3,0,2.14,2.14,-9,-9,-999,0,-9,-9,2020,0,0,-9,3,1,1057,0,0,2.14,0,182.61,3,-9,6
6174,617401,617403,-9,617402,617401,2020,0,9,0,2,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2020,1,0,-9,2,0,3378,0,0,0,0,0,2,-9,10
4722,472201,472204,-9,472202,472201,2020,1,6,0,2,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2020,1,0,-9,2,0,1556,0,0,0,0,0,2,-9,2
10370,1037001,1037001,-9,-9,-9,2020,0,68,0,0,0,2,2,-9,0,3,2,0,0,0,-9,-9,-999,-9,-9,-9,2020,1,0,-9,4,0,598,0,0,0,0,259.23,4,23,2
10084,1008402,1008403,-9,1008402,1008401,2020,1,23,0,0,0,2,2,-9,0,5,4,6.7,6.7,0,-9,-9,-999,0,-9,-9,2020,1,40,-9,1,1,966,3.42,0,0,0,246.46,3,0,10
2,202,204,-9,-9,-9,2020,1,85,0,0,0,3,3,-9,0,2,2,0,0,0,-9,-9,-999,-9,-9,-9,2020,1,0,-9,4,0,1143,0,0,0,0,563.49,4,-9,4
592,59202,59202,-9,59201,-9,2020,0,23,0,0,0,2,2,-9,0,4,1,0,0,0,-9,-9,-999,0,-9,-9,2020,0,0,-9,3,1,635,0,0,0,0,242.7,3,-9,10
7965,796502,796502,-9,-9,-9,2020,0,70,0,0,0,2,2,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2020,0,0,-9,4,0,222,0,0,0,0,125.7,4,25,5
4376,437602,437603,-9,437602,437601,2020,1,18,0,0,0,2,2,-9,0,4,3,0,0,0,-9,-9,-999,0,-9,-9,2020,1,0,-9,3,1,882,0,0,0,0,162.65,3,-9,5
3828,382801,382803,-9,382802,382801,2020,1,5,0,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2020,1,0,-9,2,0,1821,0,0,0,0,0,2,-9,2
